,text,label
175,एमाले लाई यस्तै नेता भएर अब अर्को चुनावमा 50 सिट पनि आउदैन गफ मात्रै ठुलो गर्ने हो यिनले काम छैन नेपालका चोर नेताहरुको जनताको नाममा राजनीति गर्न छोडे हुन्छ अब जनता बुझ्ने भैसके चुनावमा एक एक हिसाब हुन्छ केपिको छोरो भएर हो जोगाको नत्र अरु भएको भए 70 करोड कान्डमा जरुर जेल जान्थे।,0
178,तेरो बाउ केपि को बिर्ता हो ठग अब त लाठा खानि हो,0
179,सहि तर्क गोकुल जि ।।,1
181,एमाले को कारण ले देस सकिने भयो  😭😭,0
182,विदेशीको चम्चा,0
186,"गोकुले लाई बोल्नु किना सरम लाग्दैन? 70 करोड भ्रष्टाचार ,कमिसन कान्ड प्रस्ट छ।।",0
191,"आउलास भोट माग्न भ्रस्टचारी , 34:31 बाट भ्रस्टचारीको कुरो सुरु गर्छ धमलाले",0
194,यो चोरलाई झेल कहिले कोच्ने हो,0
196,लाज नभएको  पागल चोर भर्ता चाहिँ खाने तर सम्सद बध गर्ने  अझै लोकतन्त्र  को कुरा गर्ने,0
198,भष्ट्रचारीनेतालाई तुरुन्तै बर्खास्त गर्नुपर्छㅣ,0
202,यस्लाइ देश निकाला गर्न्नुपर्छ,0
205,अहिले आफुले फेरि 70 करोड झ्वाम पार्न नपाएर रिसाउदै छ भतुवा,0
206,अलि राम्रो मान्छेहरुलाई लिएर interviwer गनुहोला,1
207,यो रिशी धमला लाई लाज नै छैन किन यस्ता खोका नेतालाई बोलाउछन भन्या के,0
209,भ्रस्टाचार नेतहारुलाई किन ल्याउनु अनि किन सोद्नु 70 करोड भनेर न सोद्नेलाई लाज न गर्नेलाई लाज,0
210,कुरा सहि गर्नुभयो,1
214,छि छि छि अरु कोहि नभएको ले यहि चोर लाई किन देख्नु परो यस्लाइ त जेल मै कोच्नु परो 70 70 70 70 70 70 सातै चोटि 70 चोर,0
217,"याे गाेकुले खाते भ्रष्टाचारी लाई बाेल्न पनि लाज मान्दैन,संसदमा हल्ला गरेर तलब भत्ता खान्छ,जनताकाे पसिना खान्छ,करु जनताकाे उहीँ के के खानु नि!",0
218,"केपि डाकाले याे गुखानेलाइ 70 कराेड घुस खान दियाे, सम्सद चाहिदैन भनेर 2 2 पटक सम्सद बिघठन गर्याे अनि बाेल्न याे डाकालाइ लाज लाग्दैन,अाेलिवेसनमा पर्त्यक ब्यक्तिलाई 3000 हजारका दरले पैसा दियर खान र चितवन घुम्न र हेर्न गयका मान्छे मुला गु खाने",0
219,जस्ले जेसुकै भनेनी गोकुल कम्रेड को बोलि मा दम छ ✊✊✊✊✊,1
220,ऋषि धमलाको पत्रकारिता सकियो जस्तो लाग्छ गठवन्धनको कार्यकर्ता जसरी वकालत गर्न थालेको देखिन्छ😆😆😆,0
221,तेरो बाउ ओलिले त संविधानमै नभाको 2  चोटि सानसाद विघटन  गरेर  लोकत्रन्त धोस्त पार्न खोज्ने अपराधी हैन ।।,0
223,बोलीमा दम छ हाम्रो गोकुलबाको ।,1
224,ए ऋषि दा यो मुजी भ्रष्टलाई प्राइम टेलिभिजनमा किन ल्याउनु हुन्छ ?,0
226,गोकुल बास्कोटा दि लेजेन्ड😆,1
227,सफा मन का गोकुल जी सलाम ✊✊✊नेकपा एमाले जिन्दावाद ✊✊☀️☀️☀️☀️,1
228,यो भ्रस्टाचारि लाई किन येति घमण्ड ?? ७० करोड को पर्दाफास हुदा नि येति धेरै आत्मबल्😡,0
230,👉️ ७० करोडको अझै कति धेरै चुरिफुरी छ थुक्क हाम्रो देशका नैतिकता नभका चोर नेताहरू 😠😠,0
231,किन ल्याको यसलाई ? सत्तरी करोडको अनुहार देख्न पनि मन छैन।,0
232,जसले जे सुकै भनेपनि गोकुल बास्कोटा  काभ्रेको बाद्साह हुन।✊✊✊,1
233,यो मान्छेको थोप्डा देख्यो कि खोपडी गरम हुने म मात्र होला कि के हो?,0
234,यस्ता भ्रष्टहरुलाई रोजेर पठाउने हामी जनता कस्ता भन्या?,0
236,औषधिमा भ्रष्टाचार गर्ने यो महा पापी हो।,0
237,म यहाँ dislike गर्न र यो मान्छेलाई बहिस्कार गर्न मात्र आएको हो। येस्ता भ्रस्टाचारी नेताहरु सबैलाई सामाजिक संजालबाट सधैको लागि  बहिस्कार गरओ।,0
240,स्वच्छ र असल राजनीति गरौं ।,1
241,समृद्ध नेपाल निर्माण गरौं ।🇳🇵🇳🇵,1
243,भ्रष्टाचारिलाई किन अन्तरबार्ता लिएको होला,0
244,चोरले म चोर हुँ कदापि भन्दैन लाज पचेको ७० करोड वलिको पुच्छरको चुरिफुरी देख्दा उदेक लाग्छ,0
245,विना स्वार्थ लोभ लालच सबै कम्युनिस्ट एकता जरुरी छ देशका लागि।,1
247,"७० करोड चोर I आफु चोर होइन भने किन राजिनामा सुरुक्क देको त् ? माग्ने बेलामा ७० करोड माग्ने चोर ,अईले आएर नकली भोइस हो रे I",0
248,नेपाली समाज हुइयाॅको पछाडी दौडने समाजबाट कहिले माथि उठ्ने होला!,0
251,धन्यवाद 🙏,1
254,अाफु पदमा हुदा नियम कानुन अनुसासन नचाहिने अरूमा हुनु पर्ने साला गाेरू,0
257,नैतिकता हराएको मान्छे,0
258,जसले जे भनोस गोकुले काका राम्रो नेता हुन्,1
259,रिसाउने मात्रै होइन कुट्न पर्ने हो यदि घोटाला नै गर्या भए कारबाही गरे भैगो नत्र बारम्बार टचर कस्ले सहन्छ,0
264,७०कराेड ताेपकाे सलामि छ बाेर्राे।,1
265,यस्तै नेतालाई हो नि चोर आयो भन्ने गाउँ घर तिर,0
268,mcc नेपालीको  लागि रामराे हाे,1
269,सहि हो कुरा।,1
270,सही भन्नु भो गोकुल जी ।,1
271,के ७० करोड भन्छौ नालायक हो तेस्ता किलिप्स प्रसारण गर्ने पत्रुकार ऐले नेपाली काङ्ग्रेस को केन्द्रिय सदस्य भको छ साला सब चुतिया हुन,0
272,सबै भन्दा खराब नेता गोकुल हुन,0
276,यस्ता वहियात नेतालाइ ल्यार किन समय खेर फाल्नु हुन्छ धमला जि।छि छि,0
277,याे गाेकुलेलाई हराउनुपर्छ,0
280,चोरको अन्तर्वार्ता आएछ ७० करोड चोर भुसडी😁,0
281,70 कारोड चोरको फेरि आगमन भएको रहेछ म त भन्छु गोकुल चोर देश छोड।,0
282,बुडो गोरु जठौ  भीरमा जाऊ । थुक्क मेरो देशको नेता लाज पचेका बिदेशी डलरबादी देश पुरै धरशयमा पारिसक्यो ।,0
283,जेजे भए पनि यो मान्छे को कुरा सुन्दा मजा आउछ 🤪🤪🤪🤪🤪🤪,1
285,यो 70 करोड गोकुले ओलीले गर्दा खुप चुरी फुरी गरिरहेको छ लाज सरम नभएको,0
286,"काभ्रेका बादसाह, एमालेको ताकत- गोकुल दाइको कुरा सुन्न मजा आउछ",1
289,जस्ले जति सुकै भनेनि गाेकुल बमस्काेटालाई मैले माने,1
295,यो चोरलाइ किन घरीघरी अन्तरबार्ताको लागि बोलाउछौ धमला बुढा?,0
296,७० करोडलाई बोल्न पनि लाज लाग्दै बा,0
297,७० करोड धिक्कार तिम्रो विचार मुर्दावाद,0
299,यो रिशी धमलालाई लाजै छैन यार 1000 पटक राजेन्द्र लिङ्देललाई ल्याउ न यार अरु नेताहरुलाई नल्याउ के यार दाइ,0
300,छिछिछिछि यस्तो नालायक लाई पनि के ल्याएकाे हाेला यार हेर्ने लाई पनि दिक्क । खै ७० कराेड कता गयाे । याे ले पनि के माधवकुमार शीत दाज्न मिल्छ। ऋषि सरले पनि यस्तो लाई ल्याएर अाफ्नाे खुट्टामा अाफै बन्चरो हान्दै हुनुहुन्छ है।,0
304,मान्छे कोल्याप्स गदिनु परो,0
309,सहि कुरा,1
313,चोरै हो। 🤨,0
318,भ्रष्टाचारि डाका।,0
322,70 करोड वाला अझ कति चुरिफुरी गर्छ थुक्क,0
325,चोर आयो !,0
326,लाज सरम छैन चोर लाई,0
327,गकुल 70  खरब चोर हो,0
329,चोर डाका,0
330,"थूक्क यस्ता खुराफाती  खड्केको  हलिहरु लाइ पनि मिडियामा स्थान दिने? कोहि नपाएर ?   खड्केको  हलि , प्रतिगामीको मतियार भएर क्रान्तिकारीसँग जोरी नखोज्",0
335,म पनि dislike गर्न मात्र आकी हुं।,0
337,यो फटाहा लाई बोलाएर के छलफल गरेको होला,0
338,हेहेहे पागल साले 70 करोड मुजि यस्लाइ भेट्न् पाए,0
340,लाजपचेको ७० करोड,0
344,मेरो खातामा एक बोरा हाल्दिनुसत गोकुले चोर,0
345,"गोकुल बास्कोटा ले सिधा एन्सर दिन्छ, अरु नेता जस्तो चिप्लो ‌धस्दैन। तेसैले मन पर्छ।",1
347,नेताहरु भ्रष्टाचार गर्छन जनताको छोराछोरी बिदेशमा रुदै बस्नु परेको छ नेताहचै खान्छन??,0
349,बो लकड … ओलीको लकड गोकुल जी,0
350,यो मुजि 70 करोड लाई किन ल्याउनु हो मुजि धमला,0
352,तेरिमा ७०,0
354,यस कि मा डाका चोर फटाहा गोक्कुले,0
358,अब को चुनाव मा यो गु बास्कोटालाई काभ्रेली जनताले भोट दिएर जिताए भने काभ्रेको जिल्लाको 100 वर्ष सम्म विकास हुँदैन,0
363,तेरो बाउ केपि को बिर्ता हो ठग अब त लाठा खानि हो,0
364,सहि तर्क गोकुल जि ।।,1
366,एमाले को कारण ले देस सकिने भयो  😭😭,0
378,यो चोरलाई झेल कहिले कोच्ने हो,0
379,लाज नभएको  पागल चोर भर्ता चाहिँ खाने तर सम्सद बध गर्ने  अझै लोकतन्त्र  को कुरा गर्ने,0
385,यस्लाइ देश निकाला गर्न्नुपर्छ,0
389,यो रिशी धमला लाई लाज नै छैन किन यस्ता खोका नेतालाई बोलाउछन भन्या के,0
392,कुरा सहि गर्नुभयो,1
396,छि छि छि अरु कोहि नभएको ले यहि चोर लाई किन देख्नु परो यस्लाइ त जेल मै कोच्नु परो 70 70 70 70 70 70 सातै चोटि 70 चोर,0
398,"याे गाेकुले खाते भ्रष्टाचारी लाई बाेल्न पनि लाज मान्दैन,संसदमा हल्ला गरेर तलब भत्ता खान्छ,जनताकाे पसिना खान्छ,करु जनताकाे उहीँ के के खानु नि!",0
399,"केपि डाकाले याे गुखानेलाइ 70 कराेड घुस खान दियाे, सम्सद चाहिदैन भनेर 2 2 पटक सम्सद बिघठन गर्याे अनि बाेल्न याे डाकालाइ लाज लाग्दैन,अाेलिवेसनमा पर्त्यक ब्यक्तिलाई 3000 हजारका दरले पैसा दियर खान र चितवन घुम्न र हेर्न गयका मान्छे मुला गु खाने",0
400,जस्ले जेसुकै भनेनी गोकुल कम्रेड को बोलि मा दम छ ✊✊✊✊✊,1
404,बोलीमा दम छ हाम्रो गोकुलबाको ।,1
405,ए ऋषि दा यो मुजी भ्रष्टलाई प्राइम टेलिभिजनमा किन ल्याउनु हुन्छ ?,0
406,👉️ एमाले मुर्दावाद 😠😠😠,0
408,सफा मन का गोकुल जी सलाम ✊✊✊नेकपा एमाले जिन्दावाद ✊✊☀️☀️☀️☀️,1
409,राष्ट्रवादी नेता भिम रावल जिन्दाबाद सलाम छ,1
410,डा. भिम रावल को कुरा पनि ठिक छन 👍,1
427,डा भिम रावल ऐक मात्र राष्ट्रबादी नेता सलाम छ कमरेड,1
429,नेपाल मा 1 मान्छे 1 दल भए विकास राम्रै हुन्यो।।।।।।,1
440,नेता भिम रावल जिन्दावाद।,1
444,प्रधानमंत्री बन्नको लागी गुड लक,1
451,तर ऋषी जी काे आफैं जितेर बोल्ने बानी नराम्रो प्रश्नको उत्तर सुन्नै नचाहने ।,0
482,भिम ले बोलेको कुरा mmc  को बारेमा  एकदम  ठिक  लागेयो,1
487,यो प्रत्रकार त पागलको महा पागल रैछ यार।,0
508,धेरै राम्रो गुट लक,1
523,धमला पागल !,0
534,भिम रावल जिन्दाबाद,1
537,क. भिम रावल जिन्दाबाद,1
563,MCC को लागी चाई भीम रावल लाई सलाम छ।,1
564,देसद्रोहि केपी आठ पासे जोकर ले गर्दा आज एक सफल लिडर बाहिर बस्नु पर्या छ ।सत्यको विजय हुने छ ।सलाम छ डा भीम रावल जी,0
566,याे मान्छे ठिक छैन जहिले आफ्नाे घर भत्काउने कुरा मात्रै गर्छन।,0
567,अति राम्रो बिचार छ डा. भिम रावलको ।,1
569,भिम रावल देश र जनताको हितको निम्ति बोल्ने र काम गर्ने नेता हो ।,1
577,"भारत-मधेस र नेपाल-चीन सम्बन्ध विग्रन्छ, मधेसी नेता अरू दलको भरिया : डा.राजेश अहिराज",0
615,लामो कुरा जाठा,0
622,यी मान्छेलाई बिश्वास गर्नुहुदैन,0
625,उहाँ बाट नेपाल सप्रिने भन्दा बिग्रेर जान्छ।,0
629,जनतालाई आस देखाएर निरासा पार्नुनै ठुलो गल्ती भयो। सबै जनताले एक पटक साथ देकोनै थियो।,0
634,प्रचण्ड नै नेपालीको सच्चा नेता हुन ।,1
648,गरीब दलित को हीरो हो,1
651,सेवक र मालिक को भलाकुसारी  मुजी ऋषि प्रचण्ड को खोल्तिको पत्रकार हो यो मुजी,0
656,नेता र पत्रकार बकबास करायो दक्षिण नै हरायो,0
657,अब पत्ता साफ हुने दिन आउदै छ ।राजसंस्था जिन्दावाद,1
661,तलाइत देश्द्रोहिको tag लाग्नु पर्थ्यो!!,0
667,बेशर्म फटा अझ बोलछस।,0
671,सफलताको शुभकामना!,1
673,नेपाली हरुको कल्चर सत्यानास पारिस  बुढा आतंककारी,0
680,चोर आयो चोर,0
681,गोरु नेता,0
695,नेकपा माओवादी केंद्र जिन्दावाद,1
706,प्रचण्डपथ जिन्दावाद,1
709,1. मित्र्यु : हामी सबैले  एक दिन मर्नु पर्छ।,0
714,राम्रो लाग्यो,1
720,"यी पत्तुरहरुलाई झुकेर पनि भोट नदिनुहोला, सबैलाई चेतना भया",0
722,पहिला आफ्ना घाइते अपाङ्ग हरुको चित्तबुझ्दो काम गरेर आइज आनि अरु जनता ले पत्याउछ्न  अब्सर बादी भ्रष्टाचारी,0
723,सामदाम दन्डबेद भन्थेउ काम्रेड बोलाइ यक काम अर्कै बिस्बास गर्न सकिदैन।पहिला तिमिले भनेको हैन अमेरिकी साम्राज्यवाद भारतिय बिस्तार वाद भन्ने अनि तुइन काटेर मान्छे मार्दा बोल्न नसक्ने कन्फटेबल सरकार,0
724,के चै खान्छ हौ यो जंगली ले??कत्रो भ्रम र कन्फिडेन्स??साला अझै पृथ्वीनारायण शाह को नाम लिने हिम्मत गर्छ!!,0
725,देश बेचेरा मर्ने  भए  देशद्रोही हरु  तेरो एम सिसी,0
726,जनहत्यारा प्रचन्डलाई फाँसी दे,0
727,जिन्दावाद,1
728,येस्ता स्वार्थी  नेता को के कुरा सुन्नु।जन्तालाइ चुतिया बनाउने प्रचण्ड ।,0
729,तिमिहरु हरु को मुद्दा भने पनि जेजे भने पनि सबै गफ नै मात्र हो??तिमिहरु ले गरेको राजनिती नेपाली जनता र यो नेपाल आमा को हित मा गरेको छैनौ ??र तिमिहरु को उधेस्य पनि यो देश लाई बनाउ भन्ने छैन,0
731,"बिचार काे हैन पद काे सङगर्स छ भाग बन्दा काे सङगर्स छ अहिले तिमी हरु बिच जनता भाँड मै गय तिमी हरुलाइ के मतलब , बरु अब चुनाव आउदैछ भनेर कतै पत्ता साफ हुन्छ कि भन्ने डरले  अर्काे झुठकाे तुरुप फाल्ने दुषप्रयास गर्दैछाै",0
734,तिमीहरु चोर डाका फेरि वाम गठबन्धन गरेपनि आगामी चुनावमा राप्रपाले बहुमत ल्याउछ तिमि चोर बिदेशीका दलाल हरु लाई जनता हरुले चिनी सके।,0
735,झुट पनि कति कन्फिडेन्स  ले बोलेको फटाहा,0
736,बकवाश,0
738,", साम्राज्यवाद र सर्वहारा क्रान्तिको युगको मार्क्सवाद छ ।  वैचारिक स्तरमा, यो सर्वहारा क्रान्तिको सिद्धान्त र रणनीति हो, र विशेष गरी सर्वहारा वर्गको अधिनायकत्व हो। साम्राज्यवादको अवस्था, नियमहरू उजागर गरियो।  उनको समाजवादी क्रान्तिको सिद्धान्तमा लेनिनवादको रचनात्मक भावना व्यक्त गरिएको छ।  लेनिनले नयाँ चरणहरूमा समाजवाद पहिलो वा केही देशहरूमा विजयी हुनसक्छ भनी प्रतिपादन गरे।  उनले सर्वहारा वर्गको पार्टी विचारधारालाई अग्रणी र संगठित शक्तिको रूपमा प्रस्तुत गरे, जस बिना सर्वहारा वर्गको उपलब्धि, अधिनायकत्व र कम्युनिष्ट समाजको निर्माण असम्भव छ।",0
740,धन्यवाद,1
742,बिचरा छेपारो,0
743,"बिभीन्न जातजाती मिलेर बसेको संसारकै सुन्दर फूलबारी जस्तो देशमा लुकेर बसेको सर्प जनताको नजरमा लगभग मरेर फेरी टाउको उठाउने प्रयत्न गर्दैछ।देशलाई आपसमा बिभाजन,आप्नै संस्कृति माथी प्रहार,छोराछोरी बाद,बुहारीबादको यो मसिहाको नामोनिटान नहुदा सम्म नेपाल आमा रोईरहनु पर्ने छ।जाग युवा हो जाग।यसको समूल पतन गराउन जाग।खाडीका मूलुक जान छाडेर यसका बिरूद्दमा र आप्नो भबिष्य आफै बनाउन जाग।यो मुल्याहा हो।यो ईदिअमिन हो।यसका ओठे प्रेमका अभिव्यक्तिमा अब नफस।जाग,जाग ,जाग।",0
745,माओवादी को एजेन्डा देश चलेको छ ऋषि सरले कति राम्रो प्रश्न गर्नु भयो।,1
746,यो मुजी ले केहि ख्यास्ने वाला छैन,0
747,यिनको बोली त पुरै रुन्चेहासो पाराको छ त ! के साच्चै म्याउवादि सकिएकै हुन् त?,0
750,"जोकर लाई  प्रचण्ड को पैताला मा नि सुहाउन्न कस्सम, धरै जसो  नेपाली त tiktok र फेस बुक मा जोक हेर्दै हिल्लेने बानी परेको छ।",1
751,प्रचण्ड साँच्चै मास्क माओ र स्टालिन बराबर हैसियत मा भएका नेता हुन्। बीपी महेन्द्र र प्रचण्ड बराबर हैसियत का नेपाल को top leaders हुन्।,1
752,नेपालको एकमात्र सच्चा ईमानदार देसको बिकासगर्न सक्ने नेता,1
753,ज्यानमारा माओवादी,0
754,लाल सलाम,1
755,माओबादी प्रचण्ड जिन्दाबाद,1
757,गाउँले भाषामा भन्दा नेता होइन चोर आयो भन्छन् हाम्रो तीर l,0
758,"राणिकोबान  प्रतिगमनकारिहरुले(यसको भाषा मा) बनाएको देशमा बसेर,  उनिहरुले नै  बनाएको सडक, भवन एअरपोर्ट प्रयोग गरेर  अग्रगामी भएको कसरि सोच्छस?  खाते",0
759,तेरो लागि अग्रगमन भनेको संरचना भत्काउने हो? १७००० जनता मार्ने हो? भष्ट्राचार गर्नलाई हो?  तेरो परिवारका लागि गरि खाने भाडा हो?  देश  बेच्नलाई हो?,0
